vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,vector,complexity,severity
62,84,334,2022-03-03,A remote code execution vulnerability exists in Microsoft Excel when the software fails to properly handle objects in memory.,Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
62,86,339,2022-03-03,A privilege escalation vulnerability exists in Microsoft Exchange Server. An attacker who successfully exploited this vulnerability could attempt to impersonate any other user of the Exchange server.,Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
14,40,132,2022-03-03,The ChakraCore scripting engine contains a type confusion vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,124,153,2022-03-03,"A vulnerability in the Login Enhancements (Login Block) feature of Cisco IOS Software could allow an unauthenticated, remote attacker to trigger a reload of an affected system, resulting in a denial of service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,124,153,2022-03-03,"A vulnerability in the Login Enhancements (Login Block) feature of Cisco IOS Software could allow an unauthenticated, remote attacker to trigger a reload of an affected system, resulting in a denial of service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,131,178,2022-03-03,"Format string vulnerability in the Link Layer Discovery Protocol (LLDP) subsystem of Cisco IOS Software, Cisco IOS XE Software, and Cisco IOS XR Software could allow an unauthenticated, adjacent attacker to cause a denial of service (DoS) condition or execute arbitrary code with elevated privileges on an affected device.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,126,159,2022-03-03,A vulnerability in the DHCP option 82 encapsulation functionality of Cisco IOS Software and Cisco IOS XE Software could allow for denial-of-service.,Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,172,2022-03-03,A vulnerability in the Cisco IOS Software and Cisco IOS XE Software function that restores encapsulated option 82 information in DHCP Version 4 (DHCPv4) packets can allow for denial-of-service.,Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,172,2022-03-03,A vulnerability in the DHCP option 82 encapsulation functionality of Cisco IOS Software and Cisco IOS XE Software could allow for denial-of-service.,Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,131,178,2022-03-03,"There is a buffer overflow vulnerability in the Link Layer Discovery Protocol (LLDP) subsystem of Cisco IOS Software, Cisco IOS XE Software, and Cisco IOS XR Software which could allow an unauthenticated, adjacent attacker to cause a denial of service (DoS) condition or execute arbitrary code.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,124,156,2022-03-03,"A vulnerability in the Simple Network Management Protocol (SNMP) subsystem of Cisco IOS Software running on certain models of Cisco Catalyst Switches could allow an authenticated, remote attacker to cause a denial-of-service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,125,177,2022-03-03,"A vulnerability in the implementation of Internet Key Exchange Version 1 (IKEv1) functionality in Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial-of-service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,125,176,2022-03-03,"A vulnerability in the implementation of Internet Key Exchange Version 1 (IKEv1) functionality in Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial-of-service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,125,161,2022-03-03,"A vulnerability in the Smart Install feature of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to trigger a reload of an affected device, resulting in a denial-of-service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,38,150,2022-03-03,"A vulnerability in the Bidirectional Forwarding Detection (BFD) offload implementation of Cisco Catalyst 4500 Series Switches and Cisco Catalyst 4500-X Series Switches could allow an unauthenticated, remote attacker to cause a crash of the iosd process, causing a denial-of-service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,124,154,2022-03-03,"A vulnerability in the crypto engine of the Cisco Integrated Services Module for VPN (ISM-VPN) running Cisco IOS Software could allow an unauthenticated, remote attacker to cause a denial-of-service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,160,2022-03-03,"A vulnerability in the quality of service (QoS) subsystem of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause a denial of service (DoS) condition or execute arbitrary code with elevated privileges.",Apply updates per vendor instructions.,2022-03-17,Unknown,0.0,Unknown,Unknown,Unknown,3
62,165,365,2022-03-03,"The Microsoft Malware Protection Engine running on Microsoft Forefront and Microsoft Defender on Microsoft Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, Windows 10 Gold, 1511, 1607, and 1703, and Windows Server 2016, Microsoft Exchange Server 2013 and 2016, does not properly scan a specially crafted file leading to memory corruption. aka ""Microsoft Malware Protection Engine Remote Code Execution Vulnerability"".",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,130,157,2022-03-03,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS 1 contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code on an affected system or cause an affected system to reload. An attacker could exploit these vulnerabilities by sending a crafted SNMP packet to an affected system via IPv4 or IPv6.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,174,2022-03-03,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,174,2022-03-03,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code on an affected system or cause an affected system to reload.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,174,2022-03-03,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code on an affected system or cause an affected system to reload.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,174,2022-03-03,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,174,2022-03-03,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,174,2022-03-03,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,158,2022-03-03,"A vulnerability in the Autonomic Networking feature of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, adjacent attacker to cause autonomic nodes of an affected system to reload, resulting in denial-of-service (DoS).",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,162,2022-03-03,"A vulnerability in the UDP processing code of Cisco IOS and IOS XE could allow an unauthenticated, remote attacker to cause the input queue of an affected system to hold UDP packets, causing an interface queue wedge and denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,126,165,2022-03-03,"A vulnerability in the Border Gateway Protocol (BGP) over an Ethernet Virtual Private Network (EVPN) for Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause the device to reload, resulting in a denial of service (DoS) condition, or potentially corrupt the BGP routing table, which could result in network instability.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,171,2022-03-03,"The Dynamic Host Configuration Protocol (DHCP) relay subsystem of Cisco IOS and Cisco IOS XE Software contains a vulnerability that could allow an unauthenticated, remote attacker to execute arbitrary code and gain full control of an affected system.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,39,149,2022-03-03,"A vulnerability in the Virtual Private LAN Service (VPLS) code of Cisco IOS for Cisco Catalyst 6800 Series Switches could allow an unauthenticated, adjacent attacker to cause a denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,129,173,2022-03-03,"A vulnerability in the Internet Key Exchange Version 2 (IKEv2) module of Cisco IOS and Cisco IOS XE could allow an unauthenticated, remote attacker to cause high CPU utilization, traceback messages, or a reload of an affected device that leads to a denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,130,163,2022-03-03,"A vulnerability in the implementation of the PROFINET Discovery and Configuration Protocol (PN-DCP) for Cisco IOS could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,130,152,2022-03-03,"There is a vulnerability in the implementation of the Common Industrial Protocol (CIP) feature in Cisco IOS could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,130,152,2022-03-03,"There is a vulnerability in the implementation of the Common Industrial Protocol (CIP) feature in Cisco IOS could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,130,164,2022-03-03,"A vulnerability in the implementation of a protocol in Cisco Integrated Services Routers Generation 2 (ISR G2) Routers running Cisco IOS could allow an unauthenticated, adjacent attacker to cause an affected device to reload, resulting in a denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
16,130,155,2022-03-03,"A vulnerability in the implementation of Network Address Translation (NAT) functionality in Cisco IOS could allow an unauthenticated, remote attacker to cause a denial of service.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,210,375,2022-03-03,A remote code execution vulnerability exists in Microsoft Office software when the software fails to properly handle objects in memory. An attacker who successfully exploited the vulnerability could run arbitrary code in the context of the current user.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,34,2022-03-03,Adobe Flash Player contains a type confusion vulnerability which can allow for remote code execution.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,210,379,2022-03-03,Microsoft Office contains a use-after-free vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,114,346,2022-03-03,"The Graphics Device Interface (GDI) in Microsoft Windows Vista SP2; Windows Server 2008 SP2 and R2 SP1; Windows 7 SP1; Windows 8.1; Windows Server 2012 Gold and R2; Windows RT 8.1; and Windows 10 Gold, 1511, and 1607 allows local users to gain privileges",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
103,252,589,2022-03-03,An improper privilege management vulnerability exists within the Siemens SIMATIC Communication Processor (CP) that allows a privileged attacker to remotely cause a denial of service.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,36,2022-03-03,Use-after-free vulnerability in Adobe Flash Player Windows and OS and Linux allows remote attackers to execute arbitrary code.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,84,376,2022-03-03,A security feature bypass vulnerability exists when Microsoft Office improperly handles input. An attacker who successfully exploited the vulnerability could execute arbitrary commands.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,210,372,2022-03-03,Microsoft Office contains a memory corruption vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
58,156,312,2022-03-03,Race condition in mm/gup.c in the Linux kernel allows local users to escalate privileges.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,25,2022-03-03,An access of resource using incompatible type vulnerability exists within Adobe Flash Player that allows an attacker to perform remote code execution.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,25,2022-03-03,Adobe Flash Player allows remote attackers to cause a denial of service or possibly execute arbitrary code.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,455,2022-03-03,A privilege escalation vulnerability exists in Microsoft Windows if the Windows Secondary Logon Service fails to properly manage request handles in memory. An attacker who successfully exploited this vulnerability could run arbitrary code as an administrator.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,25,2022-03-03,Adobe Flash Player allows remote attackers to execute arbitrary code via a crafted SWF file.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,36,2022-03-03,A use-after-free vulnerability exists within the ActionScript 3 ByteArray class in Adobe Flash Player that allows an attacker to perform remote code execution.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
74,147,515,2022-03-03,Unspecified vulnerability in Oracle Java SE allows remote attackers to affect integrity via unknown vectors related to deployment.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,30,2022-03-03,A memory corruption vulnerability exists in Adobe Flash Player that allows an attacker to perform remote code execution.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
74,147,519,2022-03-03,An unspecified vulnerability exists within Oracle Java Runtime Environment that allows an attacker to perform remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,210,371,2022-03-03,Microsoft Office allows remote attackers to execute arbitrary code via a crafted EPS image.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,226,384,2022-03-03,Microsoft PowerPoint allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted Office document.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,4,321,2022-03-03,ATMFD.DLL in the Adobe Type Manager Font Driver in Microsoft Windows Server allows local users to gain privileges via a crafted application.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,339,399,2022-03-03,An unspecified vulnerability exists in the Win32k.sys kernel-mode driver in Microsoft Windows Server that allows a local attacker to execute arbitrary code with elevated privileges.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,210,372,2022-03-03,Microsoft Office contains a memory corruption vulnerability which allows remote attackers to execute arbitrary code via a crafted document.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,441,2022-03-03,A vulnerability exists in Windows Object Linking & Embedding (OLE) that could allow remote code execution if a user opens a file that contains a specially crafted OLE object.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,238,44,2022-03-03,Adobe Reader and Acrobat contain a use-after-free vulnerability which can allow for code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,432,2022-03-03,Microsoft Windows NDProxy.sys in the kernel contains an improper input validation vulnerability which can allow a local attacker to escalate privileges.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,138,358,2022-03-03,A use-after-free vulnerability exists within CDisplayPointer in Microsoft Internet Explorer that allows an attacker to remotely execute arbitrary code.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,238,43,2022-03-03,Adobe Reader and Acrobat contain a memory corruption vulnerability which can allow attackers to execute arbitrary code or cause a denial of service.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
66,98,483,2022-03-03,"Mozilla Firefox does not properly initialize data structures for the nsDOMSVGZoomEvent::mPreviousScale and nsDOMSVGZoomEvent::mNewScale functions, which allows remote attackers to obtain sensitive information from process memory via a crafted web site.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,138,355,2022-03-03,This vulnerability may corrupt memory in a way that could allow an attacker to execute arbitrary code in the context of the current user within Internet Explorer.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,237,39,2022-03-03,A buffer overflow vulnerability exists in Adobe Reader which allows an attacker to perform remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,238,43,2022-03-03,An memory corruption vulnerability exists in the acroform.dll in Adobe Reader that allows an attacker to perform remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,49,18,2022-03-03,An authentication bypass vulnerability exists in Adobe ColdFusion which could result in an unauthorized user gaining administrative access.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
74,147,516,2022-03-03,The Java Runtime Environment (JRE) component in Oracle Java SE allow for remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,210,370,2022-03-03,The TabStrip ActiveX control in the Common Controls in MSCOMCTL.OCX in Microsoft Office allows remote attackers to execute arbitrary code via a crafted (1) document or (2) web page that triggers system-state corruption.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
74,147,516,2022-03-03,"Unspecified vulnerability in the Java Runtime Environment (JRE) component in Oracle Java SE allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Hotspot.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,25,2022-03-03,Unspecified vulnerability in Adobe Flash Player allows remote attackers to execute arbitrary code or cause a denial of service via crafted SWF content.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
74,147,516,2022-03-03,An incorrect type vulnerability exists in the Concurrency component of Oracle's Java Runtime Environment allows an attacker to remotely execute arbitrary code.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
74,148,516,2022-03-03,An access control vulnerability exists in the Applet Rhino Script Engine component of Oracle's Java Runtime Environment allows an attacker to remotely execute arbitrary code.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,103,343,2022-03-03,A remote code execution vulnerability exists in the Forefront Threat Management Gateway (TMG) Firewall Client Winsock provider that could allow code execution in the security context of the client application.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,31,2022-03-03,Adobe Flash Player contains a vulnerability which allows remote attackers to execute arbitrary code or cause a denial of service (application crash) via crafted Flash content.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,210,377,2022-03-03,A stack-based buffer overflow vulnerability exists in the parsing of RTF data in Microsoft Office and earlier allows an attacker to perform remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,430,2022-03-03,"The kernel in Microsoft Windows, when access to 16-bit applications is enabled on a 32-bit x86 platform, does not properly validate certain BIOS calls, which allows local users to gain privileges.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,238,40,2022-03-03,Unspecified vulnerability in Adobe Reader and Acrobat allows attackers to cause a denial of service or possibly execute arbitrary code.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,84,333,2022-03-03,Microsoft Office Excel allows remote attackers to execute arbitrary code via a spreadsheet with a FEATHEADER record containing an invalid cbHdrData size element that affects a pointer offset.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,426,2022-03-03,"The kernel in Microsoft Windows does not properly validate changes to unspecified kernel objects, which allows local users to gain privileges via a crafted application.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
74,327,523,2022-03-03,An input validation vulnerability exists in the VBoxDrv.sys driver of Sun xVM VirtualBox which allows attackers to locally execute arbitrary code.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
1,6,42,2022-03-03,Adobe Acrobat and Reader contain an input validation issue in a JavaScript method that could potentially lead to remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,445,2022-03-03,A privilege elevation vulnerability exists in the POSIX subsystem. This vulnerability could allow a logged on user to take complete control of the system.,Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,445,2022-03-03,"smss.exe debugging subsystem in Microsoft Windows does not properly authenticate programs that connect to other programs, which allows local users to gain administrator or SYSTEM privileges.",Apply updates per vendor instructions.,2022-03-24,Unknown,0.0,Unknown,Unknown,Unknown,3
66,98,486,2022-03-07,Mozilla Firefox contains a use-after-free vulnerability in WebGPU IPC Framework which can be exploited to perform arbitrary code execution.,Apply updates per vendor instructions.,2022-03-21,Unknown,0.0,Unknown,Unknown,Unknown,3
66,98,486,2022-03-07,Mozilla Firefox contains a use-after-free vulnerability in XSLT parameter processing which can be exploited to perform arbitrary code execution.,Apply updates per vendor instructions.,2022-03-21,Unknown,0.0,Unknown,Unknown,Unknown,3
126,372,650,2022-03-07,VMware vCenter Server and Cloud Foundation Server contain a SSRF vulnerability due to improper validation of URLs in a vCenter Server plugin. This allows for information disclosure.,Apply updates per vendor instructions.,2022-03-21,Unknown,0.0,Unknown,Unknown,Unknown,3
86,230,541,2022-03-07,A code injection vulnerability exists in Pulse Connect Secure that allows an attacker to crafted a URI to perform an arbitrary code execution via the admin web interface.,Apply updates per vendor instructions.,2022-09-07,Unknown,0.0,Unknown,Unknown,Unknown,3
11,150,128,2022-03-07,Atlassian Jira Server and Data Center contain a server-side template injection vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,2022-09-07,Unknown,0.0,Unknown,Unknown,Unknown,3
68,348,491,2022-03-07,NETGEAR DGN2200 wireless routers contain a vulnerability which allows for remote code execution.,Apply updates per vendor instructions.,2022-09-07,Unknown,0.0,Unknown,Unknown,Unknown,3
68,196,494,2022-03-07,"NETGEAR confirmed multiple routers allow unauthenticated web pages to pass form input directly to the command-line interface, permitting remote code execution.",Apply updates per vendor instructions.,2022-09-07,Unknown,0.0,Unknown,Unknown,Unknown,3
1,49,21,2022-03-07,"Adobe Coldfusion contains an unspecified vulnerability, which could result in information disclosure from a compromised server.",Apply updates per vendor instructions.,2022-09-07,Unknown,0.0,Unknown,Unknown,Unknown,3
1,49,20,2022-03-07,"Adobe Coldfusion contains a directory traversal vulnerability, which could permit an unauthorized user access to restricted directories.",Apply updates per vendor instructions.,2022-09-07,Unknown,0.0,Unknown,Unknown,Unknown,3
1,49,18,2022-03-07,"Adobe Coldfusion contains an authentication bypass vulnerability, which could result in an unauthorized user gaining administrative access.",Apply updates per vendor instructions.,2022-09-07,Unknown,0.0,Unknown,Unknown,Unknown,3
1,34,17,2022-03-07,"Adobe BlazeDS, which is utilized in LifeCycle and Coldfusion, contains a vulnerability which allows for information disclosure.",Apply updates per vendor instructions.,2022-09-07,Unknown,0.0,Unknown,Unknown,Unknown,3
108,282,602,2022-03-15,A buffer overflow vulnerability in SonicOS allows a remote attacker to cause Denial of Service (DoS) and potentially execute arbitrary code by sending a malicious request to the firewall.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,463,2022-03-15,A privilege escalation vulnerability exists when the Windows UPnP service improperly allows COM object creation.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,445,2022-03-15,A privilege escalation vulnerability exists when Windows improperly handles authentication requests. An attacker who successfully exploited this vulnerability could run processes in an elevated context.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,421,2022-03-15,A privilege escalation vulnerability exists when Windows Error Reporting manager improperly handles hard links. An attacker who successfully exploited this vulnerability could overwrite a targeted file leading to an elevated status.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,406,2022-03-15,A privilege escalation vulnerability exists when the Windows AppX Deployment Server improperly handles junctions.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,339,399,2022-03-15,A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,407,2022-03-15,A privilege escalation vulnerability exists when Windows AppXSVC improperly handles hard links. An attacker who successfully exploited this vulnerability could run processes in an elevated context.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,299,393,2022-03-15,A privilege escalation vulnerability exists in the way the Task Scheduler Service validates certain file operations.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,407,2022-03-15,A privilege escalation vulnerability exists when Windows AppXSVC improperly handles hard links. An attacker who successfully exploited this vulnerability could run processes in an elevated context.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,407,2022-03-15,A privilege escalation vulnerability exists when Windows AppXSVC improperly handles hard links. An attacker who successfully exploited this vulnerability could run processes in an elevated context.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,445,2022-03-15,A privilege escalation vulnerability exists when Windows improperly handles authentication requests. An attacker who successfully exploited this vulnerability could run processes in an elevated context.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,339,399,2022-03-15,A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,461,2022-03-15,A privilege escalation vulnerability exists when the Windows Transaction Manager improperly handles objects in memory.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,342,432,2022-03-15,A privilege escalation vulnerability exists when the Windows kernel fails to properly handle objects in memory. An attacker who successfully exploited this vulnerability could run arbitrary code in kernel mode.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
62,339,398,2022-03-15,The kernel-mode driver in Microsoft Windows OS and Server allows local users to gain privileges via a crafted application.,Apply updates per vendor instructions.,2022-04-05,Unknown,0.0,Unknown,Unknown,Unknown,3
